"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1" "NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1" "NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1" "NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1" "NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1" "NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1" "NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1"
"SPCS2P4" 0 0 0 0 0 0 0 0
"PTAFR" 0 0 0 0 0 0 0 0
"DNAJC8" 0 0 0 0 0 0 0 0
"ATP5IF1" 0 0 0 0 0 0 0 0
"SESN2" 0 0 0 0 0 0 0 0
"MED18" 0 0 0 0 0 0 0 0
"PHACTR4" 0 0 0 0 0 0 0 0
"RCC1" 0 0 0 0 0 0 0 0
"SNHG3" 0 0 0 0 0 0 0 0
"SNORA73A" 0 0 0 0 0 0 0 0
"SNORA73B" 0 0 0 0 0 0 0 0
"PRDX3P2" 0 0 0 0 0 0 0 0
"TRNAU1AP" 0 0 0 0 0 0 0 0
"SNHG12" 0 0 0 1 0 0 0 0
"SNORD99" 0 0 0 0 0 0 0 0
"SNORA61" 0 0 0 0 0 0 0 0
"SNORA44" 0 0 0 0 0 0 0 0
"SNORA16A" 0 0 0 1 0 0 0 0
"TAF12" 0 0 0 1 0 0 0 0
"RAB42" 0 0 0 1 0 0 0 0
"TAF12-DT" 0 0 0 1 0 0 0 0
"RNU11" 0 0 0 1 0 0 0 0
"GMEB1" 0 0 0 1 0 0 0 0
"YTHDF2" 0 0 0 1 0 0 0 0
"OPRD1" 0 0 0 1 0 0 0 0
"EPB41" 0 0 0 1 0 0 0 0
"TMEM200B" 0 0 0 1 0 0 0 0
"SRSF4" 0 0 0 1 0 0 0 0
